content,type
"#莫斯科恐袭后更多俄罗斯人自愿参军#【莫斯科音乐厅恐袭事件 促使更多俄罗斯人自愿参军：保家卫国！不能袖手旁观】俄罗斯国防部当地时间4月3日表示，俄罗斯志愿参军的青年人数近期大规模增加。截至目前，俄罗斯国防部已经招募了10万人。当地时间4月4日，俄罗斯情报部门公布消息称，俄罗斯联邦安全局在莫斯科、叶卡捷琳堡和鄂木斯克共抓获3名涉“克罗库斯城”音乐厅恐袭事件的嫌疑人。同日，俄罗斯外长拉夫罗夫表示，“克罗库斯城”音乐厅恐袭事件中明显有乌克兰参与的痕迹。（看看新闻）
看看新闻全球眼的微博视频",军事
"#布林肯称乌克兰一定会加入北约#【布林肯：乌克兰一定会加入北约】近日，美国国务卿布林肯在和乌克兰外长库列巴接受采访时表示，乌克兰一定会加入北约，而且在接下来的北约峰会上，美国会搭建桥梁，帮助乌克兰加入北约。
“乌克兰一定会成为北约成员国，此次北约峰会旨在搭建桥梁，帮助乌克兰加入北约。” #布林肯称乌克兰将成为北约一员# 
今日俄罗斯RT的微博视频",军事
"【#欧盟承认制裁无法搞垮俄经济#】据俄罗斯《消息报》网站4月4日报道，欧盟外交与安全政策高级代表何塞普·博雷利4日称，欧盟领导人知道制裁无法搞垮俄罗斯经济，但希望以此来削弱俄军事潜力。
报道说，他在欧盟外交机构网站发布的博客文章中指出：“俄罗斯经济崩溃的可能性从一开始就很小。”
博雷利称，欧盟在过去两年中不断强调，制裁不会很快奏效，其目标是削弱俄罗斯军事潜力。他表示，欧洲对俄煤炭和石油的禁运以及七国集团对俄出口油价的限制减少了俄在能源领域的收入。
他还表示，欧盟的目标“从来不是妨碍俄出口能源，这么做可能引发世界能源市场的严重危机”。
报道还说，博雷利承认，俄罗斯正在成功规避欧洲的制裁。他指出：“作为回应，我们正在与我们的七国集团伙伴一道‘不断致力于限制这种规避行为’，竭力追究供应链内所有参与者的责任。”
俄财政部长安东·西卢安诺夫2月底说，去年俄经济表现良好。他指出，若俄推行负责任的宏观经济政策，制裁对俄影响将微乎其微。他还表示，俄必须从本国储备在西方被冻结的局面中找到出路，必要时将采取回应措施。（参考消息）",军事
"81式自动步枪外形上与AK枪族相似，但实际上是一种全新设计的步枪，大家知道81式属于哪种气动操作原理吗？#硬核军迷# 
 
网页链接
 ",军事
【#日本公布新一轮对俄罗斯制裁措施#】当地时间4月5日，日本经济产业省公布新一轮对俄罗斯制裁措施，包括新增164种禁止对俄出口商品等，该制裁措施将于17日施行。#日本宣布对俄新一轮制裁# ,军事
"【“500085”、“062395”、“041517”，警号重启！】一个警号，一段故事，一份感动，一种精神；当一个个警号重新归队，忠诚的故事便有了续章……#丈夫牺牲后警号由妻子重启#  （人民日报） 
新浪军事的微博视频
 ",军事
"【长大后我就成了你：又一批英烈子女重启父辈警号】警察的职业生涯中，只有一个警号。当一位警察因公殉职后，其警号将会被封存。重启的方法只有一个，那就是传承——牺牲民警的子女当了警察，继承他的警号。
从封存到重启，这种延续被称为“长大后我就成了你”。
据中国警察网报道，和平年代，公安队伍是一支牺牲最多、奉献最大的队伍。新中国成立以来，全国公安机关共有1.7万余名民警因公牺牲，其中3700余人被评为烈士。仅2023年，就有253名民警、164名辅警因公牺牲。#丈夫牺牲后警号由妻子重启#  
长大后我就成了你：又一批英烈子女重启父辈警号",军事
"【“嫌疑人打算用火箭弹杀死他”——#以色列称挫败刺杀阴谋#】据法新社4月4日报道，以色列安全部门4日表示挫败了一起刺杀该国极右翼国家安全部长伊塔马尔·本-格维尔的阴谋。#以称挫败刺杀国家安全部长阴谋#以色列国家安全总局（“辛贝特”）表示，警方和军方在一次联合行动中拘捕了11名嫌犯，其中包括7名巴勒斯坦裔的以色列公民。
该机构在一份声明中说： “‘辛贝特’捣毁了一个恐怖主义小组，该组织正策划在以色列发动多项袭击，尤其是针对伊塔马尔·本-格维尔部长的袭击。”
声明说，这些嫌疑人曾打算用火箭弹杀死本-格维尔。
“该小组还计划袭击军事基地、本-古里安机场和位于耶路撒冷的政府办公室。”声明说。
“ 辛贝特”称，10名嫌疑人4日在以色列南部一家法院被起诉。
报道提到， 本-格维尔是犹太力量党领袖，以发表针对巴勒斯坦人的煽动性言论而闻名。 今年2月，他呼吁对约旦河西岸的巴勒斯坦人进行更严格的控制，称“不应该允许”这些人在斋月期间进入耶路撒冷祈祷。（参考消息）",军事
"【#韩方有意5月举行中日韩首脑会谈#】据韩联社5日报道，韩国外交部官员当天表示，中日韩正就在首尔举行领导人会议的事宜进行协调沟通，具体日期将在敲定后公布。据该官员透露，三方已商定在彼此方便时尽早举行峰会，韩方其间为此与中日保持协调沟通。另据日本共同社4日采访多名外交消息人士获悉，韩方拟于5月举行。#韩国拟举行中日韩首脑会谈#中日韩峰会自2019年12月在成都举办后就停摆至今，停摆的主要原因是被征劳工诉讼问题导致日韩关系恶化以及新冠疫情。
据韩联社报道，韩国曾计划在去年和今年4月重启领导人会议，但未能实现。去年11月，中日韩外长时隔四年在釜山举行第十次中日韩外长会议。会上各方一致同意在彼此方便时尽早召开会议并加紧筹备工作。（观察者网）",军事
"【#以总理称以色列能否取胜关乎美国安全# 美国会如何回应？】内塔尼亚胡称，以色列能否取得胜利关乎美国的安全利益，以色列的战斗就是美国的战斗。#以总理称以色列的战斗就是美国的战斗# 你认为美国会如何回应？#拜登要求以色列立即停火# 
 
网页链接
 ",军事
"【#美议员反对美政府援助乌克兰#：子孙后代将破产】#美议员称援乌将使美国子孙后代破产#综合美国福克斯新闻、今日俄罗斯电视台网站4月3日报道，美国共和党议员伊莱·克兰表示，美政府应停止对乌克兰的财政援助，转而关注如何解决冲突。
当地时间4月3日，伊莱·克兰接受媒体采访时称，美国正在资助一场战争，这种行为将使美国的子孙后代破产，向乌克兰提供更多援助的行为是荒谬的，不应该被讨论，而应推动和平谈判。他还表示，在美国南部边境非法移民危机持续的当下，美政府却无视国内安全。
在伊莱·克兰发表此番言论之际，美众议院即将针对援乌法案进行投票。此举引发部分共和党议员反对。（海外网）",军事
"#英防长称世界已进入战前时代#【欧洲将进入“战前时代”？北约国家酝酿向乌克兰提供千亿欧元军事支持】今年是北约成立75周年，俄外交部发言人扎哈罗娃3日表示，时至今日，北约在对俄关系上重回冷战思维。 扎哈罗娃还表示，北约的历史充满了“侵略性冒险”，美国为首的西方国家，以其所谓的价值观，给许多国家带来了战争和破坏。
俄罗斯北约对立加剧之时，英国媒体又抛出了“战前世界”论。
俄罗斯总统新闻秘书德米特里·佩斯科夫4日对记者说：“事实上，关系现在已经下滑到直接对抗的程度。” #英国防大臣称世界已进入战前时代# 
欧洲将进入“战前时代”？北约国家酝酿向乌克兰提供千亿欧元军事支持",军事
"自诞生以来T-80衍生出了众多型号，大家知道以下哪型T-80使用的是柴油发动机吗？#硬核军迷# 
 
网页链接
 ",军事
"#德总理访华德企高管随行#【外媒：#德国总理朔尔茨本月访华#，宝马奔驰等德企高管随行】据路透社4月4日报道，德国总理朔尔茨本月晚些时候将访问中国，预计宝马、梅赛德斯-奔驰等多家德国企业高管将与他一同前往。
报道称，西门子公司表示，该公司首席执行官、德国经济亚太委员会主席博乐仁将加入下周末的访华行程。熟悉情况的消息人士称，梅赛德斯-奔驰也确认其首席执行官康林松将参与行程。报道说，宝马集团董事长齐普策和拜耳集团首席执行官安德森也将与朔尔茨同行。
路透社称，此次访华是朔尔茨自去年夏天柏林制定针对中国战略以来首次访问中国，该战略敦促“去风险”以减少面对中国时的经济风险，但在具体措施和具有约束力的目标方面含糊其辞。路透社在标题中提到，即使德国政府推动所谓“去风险”，德国企业的CEO们依然愿意加入朔尔茨的访华团。
路透社还称，德国总理在进行重大外访时通常都会有高级商务代表团随行，此次出访的高管名单凸显了中国作为德国最大贸易伙伴的地位。对于德国工业来说，中国仍然极为重要，尤其是汽车制造商。他们与中国合作伙伴在中国这个全球最大的汽车市场上运营着多家合资品牌。
报道称，随行企业高管的名单并不是最终的，随着行程最终确定，可能有更多的人加入。德媒今年2月时披露，朔尔茨将于4月访华。朔尔茨2022年11月曾率商业代表团访问中国。（环球网）",军事
"【#以总理称以色列能否取胜关乎美国安全#】 以色列总理内塔尼亚胡当地时间4日在耶路撒冷会见一个美国国会共和党议员代表团时称，美以盟友关系有着长期的传统，现在更加需要。#以总理称以色列的战斗就是美国的战斗#以色列与哈马斯在加沙地带的冲突不仅仅只是因为哈马斯，还有伊朗的原因。内塔尼亚胡称，以色列能否取得胜利关乎美国的安全利益，以色列的战斗就是美国的战斗。（央视）
CCTV国际时讯的微博视频",军事
"#美正调查以是否用AI识别加沙轰炸目标#【美国正在调查以色列是否使用人工智能识别加沙轰炸目标】#美正就以军AI锁定加沙目标展开调查#当地时间4月4日，据路透社报道，美国白宫国家安全委员会发言人约翰·柯比表示，有报道称以色列军方一直在几乎无人监督的情况下，使用人工智能系统来帮助识别可疑的极端分子和目标，将数万名加沙人标记为轰炸目标。美国正在对此进行调查。（央视）
CCTV国际时讯的微博视频",军事
"【#东部战区海军超燃实战化训练#】近日，东部战区海军某护卫舰支队多艘舰艇组成编队，赴东海海域开展实战化训练。抵达任务海区后，衢州舰雷达发现空中来袭目标，各舰立即进入战斗状态，对目标进行打击拦截。随后，编队又接到打击“敌”水面目标指令，编队舰艇锁定目标迅速展开饱和攻击。@央视军事 
央视军事的微博视频",军事
"#这些熟悉的面孔浮现时太过催泪#【今天，为他们发条微博！#清明版如愿致敬先辈#】无论是存亡之秋，还是和平岁月，国家和人民需要的时刻，总有英雄挺身而出。山河无恙，烟火寻常，就是他们如愿的眺望
今日清明，谨以此片，致敬先辈。
山河共见，#家国永念#。
致敬所有的牺牲与奉献，这盛世，我们会替你们看遍！（央视新闻）
央视新闻的微博视频",军事
"#英防长称世界已进入战前时代#：“我们已经从战后世界进入战前世界。” 你如何看#英防长称世界已进入战前时代#？ 
 
网页链接
 ",军事
"#英防长称世界已进入战前时代#【英国防大臣：世界已进入战前时代】英国国防大臣格兰特·沙普斯在《每日电讯报》4月3日发布的一篇专栏文章中称，世界已经从战后时代进入战前时代。#英国防大臣称世界已进入战前时代#沙普斯表示，英国“一直是北约的推动力量”，并对此感到自豪。他写道：“但仅仅向北约的过去致敬还不够。今天，我们必须重新紧急思考北约的未来。我们已经从战后世界进入战前世界。”
沙普斯认为，必须加倍努力支持乌克兰，增加北约成员国的国防开支，并强化欧洲-大西洋防务部门。他说，北约一些成员国的国防开支不能占到GDP的2%的情况不能再继续下去了，因为北约不能“拿自己的未来来玩‘俄罗斯轮盘赌’”。
沙普斯表示，乔治·奥威尔在反乌托邦小说《1984》中描绘了一幅没有北约的世界的可怕图景，但今天我们生活在一个更加危险的时代。（今日俄罗斯RT）
今日俄罗斯RT的微博视频",军事
"小调查：#清明假期第2天#你在做什么呢？ 
 
网页链接
 ",军事
"【俄外交部：#俄外长拉夫罗夫近期将访华#】据俄罗斯卫星社4月3日报道，俄外交部发言人扎哈罗娃说，俄罗斯外交部长拉夫罗夫计划近期访问中国并与中方官员举行会谈。#俄外长近期将访华#扎哈罗娃表示，双方预计将讨论双边合作、联合国、金砖国家、上海合作组织、二十国集团相关工作，以及包括乌克兰危机在内的一些热点问题。
另据新加坡《联合早报》网站报道，中国和俄罗斯3日在北京举行联合国和安理会事务磋商。
中国外交部在官网上说，中国外交部部长助理苗得雨在北京同俄罗斯外交部副部长维尔什宁举行中俄联合国和安理会事务磋商。双方重点就当前国际形势、联合国和安理会相关事务、“未来峰会”、国际地区热点问题等深入交换意见，一致同意共同捍卫多边主义，坚定维护以联合国为核心的国际体系。（参考消息）
看看新闻全球眼的微博视频",军事
"#波音因停飞赔偿1.6亿美元#【美国阿拉斯加航空：波音支付1.6亿美元赔偿以解决停飞造成的财务损失】当地时间4月4日，据路透社报道，美国阿拉斯加航空公司当日表示，波音公司在第一季度支付了约1.6亿美元的初始赔偿，以解决航空公司因737 MAX 9型飞机停飞而遭受的财务损失。#波音被曝因737MAX9停飞赔偿1.6亿美元#阿拉斯加航空公司表示，这笔款项相当于第一季度事故和停飞造成的利润损失，且预计将获得额外赔偿。
1月5日，美国阿拉斯加航空公司一架波音737 MAX 9型客机在空中发生事故，机舱侧面一处门塞脱落，飞机随即紧急降落。之后，美国联邦航空管理局下令停飞所有同型号飞机。（央视）",军事
"【#俄称乌军大规模袭击罗斯托夫州#】俄罗斯罗斯托夫州州长5日凌晨称防空系统在该州莫罗佐夫斯克市上空击落40余个目标，一座变电站受损，目前正在进行恢复供电的工作。
CCTV国际时讯的微博视频
 ",军事
【捷克国防部长：#捷克正在为乌克兰提供F16飞行员培训#】当地时间4月4日，捷克国防部长雅娜·切尔诺霍娃在访问位于帕尔杜比采的国营航空培训中心时表示，捷克正在为乌克兰提供F-16飞行员培训。丹麦、荷兰、挪威和比利时将在数月内向乌克兰移交共约45架F-16战斗机。#捷克正向乌提供F16飞行员培训# ,军事
"#以称将开放埃雷兹口岸#【以色列总理办公室称将开放埃雷兹口岸 改善加沙地带人道主义状况】据《以色列时报》当地时间4月5日报道，以色列总理办公室称，以色列安全内阁已决定立即采取行动，改善加沙地带的人道主义状况。#以将开放与加沙交界埃雷兹口岸#以色列总理办公室表示，以色列已临时开放以色列南部的阿什杜德港，以便于援助物资的运送，并将在本轮巴以冲突爆发后首次开放加沙地带北部与以色列交界的埃雷兹口岸。
埃雷兹口岸在2023年10月7日新一轮巴以冲突爆发当天遭到严重损毁。（央视）
CCTV国际时讯的微博视频",军事
"#拜登称美涉加沙政策取决于以保护平民措施#【美国总统拜登和以色列总理内塔尼亚胡通电话 商讨加沙局势】美国总统拜登当地时间4月4日与以色列总理内塔尼亚胡通电话时表示，美国在加沙问题上的政策将取决于美方对以色列保护加沙平民措施的评估。
这是4月1日以军空袭加沙地带中部导致慈善机构“世界中央厨房”7名工作人员死亡后，拜登与内塔尼亚胡首次通话。根据白宫发布的通话纪要，拜登表示，以军袭击人道主义工作人员的行为以及加沙地带整体人道主义形势“不可接受”。#拜登称加沙人道主义形势不可接受#拜登说，以色列需要公布并执行“一系列具体、坚实且可评估的措施”，以减少以方军事行动对加沙地带平民的伤害、缓解加沙地带的人道主义苦难并保障运送援助物资工作人员的安全。美方将评估以方“根据这些措施立即采取行动”的情况，并据评估结果制定与加沙相关的政策。
拜登强调，以色列和巴勒斯坦伊斯兰抵抗运动（哈马斯）立即停火对稳定并改善加沙地带人道主义形势、保护平民至关重要。他敦促内塔尼亚胡指示以方谈判人员尽快与哈马斯达成协议，确保被扣押人员获释。（央视）
看看新闻全球眼的微博视频",军事
"#俄一州长遭持刀袭击#【#俄摩尔曼斯克州州长遭持刀袭击#】财联社4月5日电，俄罗斯摩尔曼斯克州州长新闻处表示，该州州长安德烈∙奇比斯在阿帕季特市遭持刀袭击，他已住院，袭击者遭拘留。新闻处发言人称：“在州长走出文化宫时，一名男子跑过来并用刀刺伤他。州长已被送到基洛夫斯克医院接受手术。袭击者被拘留，事故细节正在核查中。” (俄罗斯卫星通讯社)
今日俄罗斯RT的微博视频",军事
"烫知识：美国和俄罗斯是邻国吗？ 
 
网页链接
 ",军事
"#耶伦吃粤菜筷子用得不错#【耶伦选择地道粤菜，筷子用得不错】耶伦来广州的第一顿饭，吃的是老字号陶陶居。来中国前，耶伦在接受美媒采访时提到，“和世界各地的人们接触是她工作的一个关键部分，做到这一点的最佳方式就是通过食物和当地餐馆。”谭主注意到耶伦筷子用得不错。作为美国官员耶伦要了解中国的不能光是食物，只有更加了解中国，才能摆正美国的世界观、中国观，中美关系观。（玉渊谭天）
玉渊谭天的微博视频",军事
"冷知识：大家知道中国历史上哪位开国皇帝的绰号是“位面之子”吗？ 
 
网页链接
 ",军事
"#拜登对以色列又怒了但行动呢#【美媒：拜登对以色列又“怒了”，但行动呢？】据美国《纽约时报》网站4月3日报道，当美国总统拜登说他对“世界中央厨房”组织援助人员在加沙遇害感到“愤怒和痛心”时，他的强硬措辞自然提出一个问题：这次袭击——就算是一个悲剧性的错误——是否会使他对向以色列提供武器施加条件？ 
美媒：拜登对以色列又“怒了”，但行动呢？",军事
"【#普京为85岁莫斯科大学校长献花祝寿#】4月3日，俄罗斯总统普京接见莫斯科国立大学校长萨多夫尼奇，并祝贺其85岁生日快乐。普京总统还签署法令，授予萨多夫尼奇校长“俄罗斯联邦劳动英雄”称号。 
今日俄罗斯RT的微博视频
 ",军事
"【#美议员称中情局在乌指导与俄对抗#】据《俄罗斯报》网站4月3日报道，美国共和党籍众议员玛乔丽·格林在接受记者塔克·卡尔森采访时透露，乌克兰境内有美国中央情报局的雇员，他们正指导基辅与莫斯科对抗。
看看新闻全球眼的微博视频
 ",军事
"【韩国医生“辞职潮”风波持续　尹锡悦首次与医疗界代表会面】 韩国总统办公室4日说，总统尹锡悦当天与医疗界代表会面，就医疗改革等问题交换意见。这是韩国医生因反对医学院扩招计划发起“辞职潮”以来，#尹锡悦首次与医疗界人员面谈#。
韩国媒体指出，从面谈结果来看，双方立场仍有较大差距，政府和医疗界之间的矛盾恐将进一步激化。
韩国总统办公室发言人金秀卿当天在一份声明中说，尹锡悦与大韩实习住院医师协会紧急对策委员会委员长朴檀（音译）会面持续2小时20分钟，双方就改善实习医生待遇和工作条件等问题交换意见。
会面前，朴檀向大韩实习住院医师协会发出内部通知说，与总统会面“值得一试”，这样可以在国会选举前向尹锡悦表明实习医生的立场。他表示将要求尹锡悦撤回医学院扩招计划。
与尹锡悦会面后，朴檀在社交媒体称，“韩国的医疗没有未来”。韩联社分析，政府与医疗界的对话恐再次陷入举步维艰的局面。
韩国政府2月初宣布2025学年度高校医学院扩招2000人，遭到医疗界强烈反对。约万名实习和住院医生递交辞呈、罢诊离岗，造成诊疗混乱。（新华社）
看看新闻全球眼的微博视频",军事
"#谁在推动耶伦访华#【推动耶伦访华的美国“大佬”：看空中国就错了】时隔不到一年，耶伦两次访华，明显是在拜登的指示下来华“谈合作”，而且拜登此次罕见同时宣布两名高官访华，折射出美方对华认知与对华政策何种变化？拜登罕见主动要求与中国元首通话与耶伦光速访华的背后，又是谁在运作？ 
推动耶伦访华的美国“大佬”：看空中国就错了",军事
"有人认识这是什么枪吗？#硬核军迷# 
新浪军事的微博视频
 ",军事
"【#马英九再度哽咽#：我骄傲，我是炎黄子孙】今天（4日）是中国国民党前主席马英九率台湾青年学生大陆行的第四天。马英九一行于昨晚抵达陕西后稍作休整，根据日程安排，被岛内媒体称为马英九此行“重头戏”的“甲辰年清明公祭轩辕黄帝典礼”，于今天上午在陕西省延安市黄陵县桥山祭祀广场举行。#马英九祭拜黄帝后哽咽发声#对于祭拜黄帝陵，马英九一直以来都极为重视。2009年4月，马英九在台北遥祭黄帝，成为1949年后第一位主持遥祭黄帝陵典礼的台湾地区领导人。此外，马英九还打破过往由台湾内务部门负责人代表主祭的惯例，多次亲临主祭，八年内六次在台湾遥祭黄帝。
深圳卫视直新闻记者注意到，公祭典礼结束后，马英九在致辞中谈及“身为炎黄子孙感到非常骄傲”时，情绪激动，一度哽咽。马英九回忆道，自己曾在台湾六次邀祭黄帝，此次能率领台湾的年轻人到大陆亲祭黄帝，意义十分重大。马英九回顾台湾十九世纪末到上世纪四十年代曾被日本殖民五十年的屈辱历史，指日殖时期的台湾人仍坚持做炎黄子孙，来大陆亲祭黄帝曾是台湾从日本手中光复的重要象征。
马英九表示，慎终追远、饮水思源是中华民族建立数千年优良传统的重要根据。这次来到黄帝陵，就是希望借此表达台湾同胞对于传统中华文化尊宗敬祖的重视。马英九希望台湾的年轻人要牢记中华文化与中华民族的根源，以及身为炎黄子孙的骄傲。（直新闻） 
新浪军事的微博视频",军事
