content,type
新华社快讯：据伊朗塔斯尼姆通讯社报道，以色列1日空袭伊朗驻叙利亚领事馆大楼，造成包括伊朗伊斯兰革命卫队一名指挥官及其副手在内的5人死亡。（记者沙达提） ,国际
　　新华社快讯：新华社记者1日在现场看到，伊朗驻叙利亚大使馆所在区域一栋建筑遭导弹袭击，建筑严重受损，伤亡情况不明。（记者冀泽） ,国际
新华社快讯：据叙利亚通讯社1日报道，叙首都大马士革西部迈宰地区一幢居民楼当天遭以色列空袭，伤亡情况不明。（记者冀泽　程帅朋） ,国际
　　新华社快讯：俄罗斯媒体1日援引俄紧急情况部的消息报道说，雅罗斯拉夫尔地区发生一起公共汽车与火车相撞事故，造成8人死亡。 ,国际
"#解局#【“搞钱”白热化！这些奇葩场面揭示美国选举真相】美国民主党阵营包括现任总统拜登在内的三任总统上周在纽约集体登台，一天内为拜登筹得超2500万美元竞选资金。共和党前总统特朗普不甘落后，预计将在本周举行一场筹款活动，筹款目标额：3300万美元。
　　近期，拜登与特朗普分别锁定两党总统候选人提名后迅速转轨，从一州一州跑初选改为全力“搞钱”。民主党一场巨型筹款会，创下单场政治活动“圈”钱纪录，场外却出现大批抗议拜登加沙政策的示威者；特朗普卖力“带货”，产品从运动鞋到香水、收藏卡甚至《圣经》，引发争议。尴尬奇葩场面接二连三，揭示出美国选举金钱开道的真相。
网页链接",国际
【日本能登地震灾后三个月　仍有超8000人避难】4月1日，日本能登半岛地震发生满三个月。日本媒体3月31日报道，受灾地石川县目前仍有超过8000人处于避难状态，数千户家庭停水，大批受损房屋无人处置，重建家园遥遥无期。灾后三个月，石川县仍有8109人处于避难状态，珠洲市等5个地区约7860户家庭停水。与死亡人数接近的2016年熊本地震相比，能登地震灾后重建进度明显缓慢。在震后发生大规模火灾的“轮岛早市”，数百户遭焚毁店铺的废墟仍维持原状，无人处置。一些居民表示，当地还是震后的样子，“看得让人落泪”。,国际
"【英媒：以色列向联合国提议解散近东救济工程处】英国媒体3月31日披露，以色列已向联合国正式提议解散在加沙地带开展人道主义援助活动的联合国近东巴勒斯坦难民救济和工程处（近东救济工程处）。以方提出将近东救济工程处承担的援助任务移交给其他联合国机构，或设立新的援助机构处理加沙地带食品分发，近东救济工程处300至400名雇员可以“转岗”至新机构或世界粮食计划署等联合国机构。
　　近东救济工程处成立于1949年，负责向生活在巴勒斯坦被占领土以及约旦、叙利亚和黎巴嫩境内巴勒斯坦注册难民提供人道主义救助、教育和医疗等服务。据路透社报道，加沙地带230万人口中，三分之二接受过这一机构帮助。",国际
　　新华社快讯：巴勒斯坦加沙地带卫生部门4月1日说，以军当天撤出加沙地带希法医院后，希法医院内发现数十具尸体。（记者孙天朗） ,国际
【韩国国会选举进入倒计时　最大在野党民调领先】韩国将于4月10日举行国会选举。一项最新民意调查结果显示，最大在野党共同民主党的支持率领先于执政党国民力量党。《韩国先驱报》和《先驱经济报》3月25日至27日委托一家民调机构，就国会选举对4041名成年人展开意向调查。3月31日发布的结果显示，45.1%的受访者表示将支持共同民主党，40%的受访者表示将支持国民力量党，12.5%表示将支持两大党以外的第三政党。,国际
"#洋洋大观#【达莎西游记之甘肃篇】如果你问外国人：“提起甘肃，你会想到什么？”当来自俄罗斯的达莎决定前往甘肃，开启属于她的“西游记”时，她的答案是……啥也想不到。虽然见过兰州拉面的招牌，可她并不知道兰州是甘肃的省会。但短短几天，中国版图上西北部这片对外国人来说陌生又神秘的土地就征服了她。黄河之水奔流不息，佛教遗址星罗棋布，嘉峪关城雄伟壮观，莫高壁画历久弥新。古丝绸之路的余韵在这片土地上空久久回荡，今天“一带一路”在此书写新鲜篇章。经此一行，达莎得出了一个结论——到甘肃不要逛博物馆。为何？她在自己的视频游记中给出了答案。 
新华国际的微博视频",国际
【俄音乐厅恐袭受伤人数升至551人】俄罗斯紧急情况部莫斯科州总局30日发布消息说，莫斯科近郊“克罗库斯城”音乐厅恐袭事件受伤人数已升至551人。塔斯社援引该局最新数据报道说，截至当地时间30日早晨，恐袭导致144人死亡、551人受伤。据俄侦查委员会最新消息，已拘捕12名嫌疑人，其中包括4名涉嫌直接实施恐袭者在内的9名嫌疑人已被法院批准羁押候审。,国际
【以色列军方宣布打死两名哈马斯高级领导人】以色列军方发言人阿维哈伊·阿德雷伊30日在社交媒体发表声明说，以军当天在加沙地带北部加沙城希法医院的军事行动中，打死巴勒斯坦伊斯兰抵抗运动（哈马斯）的两名高级领导人。声明说，以军当天在希法医院打死多名巴武装人员，其中包括哈马斯负责军事情报的高级领导人法迪·杜韦克和哈马斯负责在约旦河西岸活动的领导人扎卡里亚·纳吉布。,国际
　　新华社快讯：荷兰警方30日说，该国埃德市当天发生劫持人质事件，多人遭劫持。 ,国际
"【从椰子壳到木炭 坦桑尼亚妇女“变废为宝”】南半球的炎炎烈日炙烤着坦桑尼亚港口城市达累斯萨拉姆，一群妇女顶着刺眼的阳光穿梭在城市街头巷尾，忙碌地收集着一些不起眼的垃圾——椰子壳、干香蕉皮和干木薯茎。她们来自一个名叫“我们的骄傲”的团队，其任务是回收这些垃圾，并将它们加工制作成木炭。
详情请看：
网页链接
 
新华国际的微博视频",国际
"【习主席的小客人访华日记：“跟中国人民心很近”】3月28日，美国华盛顿州塔科马市林肯中学师生代表结束11天的访华之旅，回到家乡。在旅途中，孩子们写下了内容丰富、感情真挚的访华日记，记录下自己眼中更加真实、立体、全面的中国。
网页链接
 ",国际
　　新华社快讯：据俄罗斯媒体29日报道，俄法院批准羁押第9名莫斯科近郊恐袭涉案人员。（记者江宥林） ,国际
　　新华社快讯：据以色列军方29日消息，以军空袭打死了一名黎巴嫩真主党火箭导弹部队副指挥官。（记者孙天朗） ,国际
　　新华社快讯：3月28日，国家主席习近平致电巴西鲁·迪奥马耶·法耶，祝贺他当选塞内加尔共和国总统。 ,国际
【叙利亚阿勒颇遭以色列袭击造成伤亡】叙利亚官方通讯社29日报道，当天凌晨1时45分左右，以色列向叙利亚阿勒颇东南地区发起空袭，造成平民和军事人员伤亡。另据路透社援引叙利亚安全部门的消息说，阿勒颇29日凌晨遭到以色列袭击，目前已造成33名平民和军事人员死亡。 ,国际
【联合国儿童基金会报告说加沙212所学校遭以色列轰炸】联合国儿童基金会（儿基会）27日发布报告指出，自本轮巴以冲突爆发以来，以色列对加沙地带发动的猛烈轰炸“直接击中”212所学校。以色列从海、陆、空对加沙地带大部分地区进行猛烈轰炸，其中对学校设施的袭击呈高发趋势。卫星图像显示，冲突爆发以来，至少有53所学校遭“完全摧毁”。,国际
新华社快讯：南非交通部28日晚发表声明说，该国北部林波波省当天发生一起大巴车坠桥事故，造成45人死亡。（记者谢江） ,国际
　　新华社快讯：俄罗斯侦查委员会28日说，莫斯科近郊音乐厅恐袭嫌疑人与乌克兰民族主义者有关。（记者江宥林） ,国际
"【买保健品要谨慎！小林制药产品致死4人震动日本国内外】日本知名制药企业小林制药公司28日说，又确认两名消费者在服用该公司含红曲成分的保健品后死亡。这一事件中确认的死亡人数已升至4人。近年来，随着健康需求不断提升，保健品消费增加，不少消费者“跟风”购买外国保健品。小林制药事件引发日本国内外广泛关注同时，也为消费者敲响警钟——盲目服用保健品风险不容忽视，切莫将其与健康生活划等号！
网页链接",国际
【普京：俄欲进攻北约是“一派胡言”，看看军费对比】据俄卫星通讯社报道，俄罗斯总统普京27日在俄特维尔州会见俄军飞行员时强调，美国2022年军费超过8100亿美元，而俄罗斯为720亿美元。“我们能在这样的（军费开支）比例下去跟北约开战？这简直是一派胡言。”普京说，北约首先“来到了我们的边界”，“我们开向那些北约国家的边界了吗？……我们越过大洋到了美国边界吗？”,国际
【联合国世界地质公园增添6个中国“新成员”】联合国教科文组织执行局27日批准18个新的地质公园列入世界地质公园网络名录，其中包括长白山等中国的6个地质公园。至此，联合国教科文组织世界地质公园网络成员总数达到213个，分布在48个国家。其中，中国的世界地质公园数量为全球之冠。 ,国际
新华社快讯：塞内加尔全国计票委员会27日公布的初步计票结果显示，“迪奥马耶总统”联盟候选人巴西鲁·迪奥马耶·法耶赢得本届总统选举。（记者王子正） ,国际
"【解局 | 日本解禁战斗机出口，这一步要迈向哪儿？】日本政府26日召开内阁会议，决定解禁日本与英国、意大利共同研发的下一代战斗机向第三国出口。日本政府声称这次解禁有诸多条件，如仅限下一代战斗机，出口对象限15国等。然而他们口中的“一小步”，在更多明眼人看来却是推开直接向第三国出口武器的大门、迈出日本防卫政策重大转变的“一大步”。日本防卫政策转变的背后有哪些推手？这为何值得地区国家乃至整个国际社会高度警惕？新华社记者为您解局——
网页链接",国际
"【#中国与洪都拉斯的开篇故事# 写满乐观与希望】3月26日是中国与洪都拉斯建交一周年，两国元首互致贺电，高度评价双边关系，对进一步深化双边合作寄予殷切期望。一年来，在元首外交引领下，双边关系实现高水平起步，经贸合作和人文交流呈现出蓬勃活力和广阔前景。
网页链接
 ",国际
　　新华社快讯：英国高等法院26日宣布，推迟“维基揭秘”网站创始人朱利安·阿桑奇引渡美国案在英国裁决。（记者孙晓玲　金晶） ,国际
　　新华社快讯：俄国防部26日说，俄军对乌克兰决策中心进行了集群打击。（记者华迪 刘恺） ,国际
　　新华社快讯：据俄罗斯媒体26日报道，俄法院批准羁押第8名莫斯科近郊恐袭涉案人员。（记者华迪） ,国际
　　新华社快讯：美国马里兰州巴尔的摩消防部门说，26日凌晨发生的船只撞击致桥梁坍塌事件恐造成多达20人及多车落水。（记者孙丁 杨天沐） ,国际
"【中国瑙鲁书写新的“山海情”】瑙鲁位于赤道以南约42公里处，有太平洋上的“天堂岛”之称，但这里的自然条件不适合农作物种植，蔬菜和水果等农产品严重依赖进口。中国的菌草技术有望即将改变这一状况。今年1月中瑙复交以来，两国人民正携手书写友谊新篇。
网页链接
 ",国际
　　新华社快讯：据美国媒体26日报道，已知至少7人在巴尔的摩桥梁坍塌事件中落水。视频画面显示，船只撞桥时发生爆炸，事发时桥面上多辆车辆行驶。（记者孙丁 杨天沐） ,国际
　　新华社快讯：美国马里兰州巴尔的摩一桥梁26日凌晨因船只撞击坍塌，有车辆和人员落水。（记者孙丁 杨天沐） ,国际
　　新华社快讯：3月26日，国家主席习近平同洪都拉斯总统卡斯特罗互致贺电，庆祝两国建交一周年。 ,国际
新华社快讯：俄罗斯侦查委员会主席巴斯特雷金25日向总统普京汇报说，莫斯科近郊音乐厅恐袭事件造成139人死亡。（记者江宥林 刘恺） ,国际
新华社快讯：俄罗斯总统普京25日说，美国试图让所有人相信，莫斯科近郊音乐厅恐袭中没有“乌克兰痕迹”，而是极端组织“伊斯兰国”所为。俄方知道这起恐怖袭击是激进伊斯兰分子实施，但俄方更关心雇主是谁。（记者刘恺 江宥林） ,国际
　　新华社快讯：联合国安理会25日通过决议，要求斋月期间加沙立即实行停火。（记者尚绪谦） ,国际
新华社快讯：美国波音公司首席执行官戴夫·卡尔霍恩将于2024年年底卸任。 ,国际
"【25年了，他们从未忘记——】塞尔维亚南部城市普罗库普列24日晚举行活动，悼念25年前北约轰炸南斯拉夫联盟共和国的遇难者。当天下起倾盆大雨，气温接近零度。恶劣天气没有阻挡塞尔维亚民众参与悼念仪式，一些人甚至在没有雨具的情况下前往悼念遇难者。塞总统武契奇在致辞中说，塞尔维亚绝对不会加入北约，并致力于军事中立。“他们（北约）想要摧毁、肢解我们的国家……但25年过去了，我们仍没有被击败。我们永远不会同意塞尔维亚的分裂。” 
新华国际的微博视频",国际
"【解局 | 俄恐袭已过48小时 真凶追查现“罗生门”】俄罗斯首都莫斯科近郊一家音乐厅22日晚发生恐怖袭击，至少137人死亡，180人受伤。25日凌晨，俄罗斯法院已批准对4名直接参与袭击的嫌疑人羁押候审。恐袭发生已过两天，谁是幕后黑手依然扑朔迷离。请看解局——
解局 | 俄恐袭已过48小时 真凶追查现“罗生门”
 ",国际
　　新华社快讯：乌克兰首都基辅25日上午传出密集爆炸声，基辅防空警报系统随后响起。（记者李东旭） ,国际
【谁发动莫斯科近郊恐袭？俄驻美大使说不要急于下结论】俄罗斯驻美国大使阿纳托利·安东诺夫24日说，在俄方正在调查是谁发动莫斯科近郊音乐厅恐袭时，不要急于下结论。 ,国际
【法国将反恐安全警戒级别提升至最高级】法国总理阿塔尔24日晚宣布，鉴于法国面临的恐怖袭击威胁上升，法国将反恐安全警戒级别提升至最高级。 ,国际
　　新华社快讯：据俄媒报道，涉嫌直接参与莫斯科近郊音乐厅恐袭的4名嫌疑人是塔吉克斯坦公民，法院已批准对4人羁押候审。（记者刘恺　陈畅） ,国际
　　新华社快讯：俄罗斯侦查委员会24日说，莫斯科近郊音乐厅恐怖袭击事件死亡人数已上升至137人。（记者江宥林 刘恺） ,国际
　　新华社快讯：据俄罗斯媒体报道，一群不明身份的武装人员当地时间24日闯入亚美尼亚首都埃里温一警察局楼内，并在该楼附近引爆了一枚手榴弹。（记者刘恺 江宥林） ,国际
新华社快讯：据美国地质调查局地震信息网消息，巴布亚新几内亚安本蒂附近北京时间24日4时22分发生7.0级地震，震源深度64公里。 ,国际
　　新华社快讯：俄罗斯内务部发言人23日说，4名涉嫌直接实施恐怖袭击的人员均为外国公民。（记者江宥林） ,国际
　　新华社快讯：当地时间3月23日下午，俄罗斯“联盟MS-25”载人飞船搭载3名宇航员从哈萨克斯坦境内的拜科努尔航天发射场成功发射升空。（记者赵冰） ,国际
　　新华社快讯：俄罗斯总统普京23日发表电视讲话时说，4名直接实施莫斯科近郊恐怖袭击者已被拘捕，并宣布3月24日为全国哀悼日。（记者陈汀 刘恺） ,国际
"【莫斯科恐袭已致143人死亡 俄誓要“血债血偿”】俄罗斯首都莫斯科近郊克拉斯诺戈尔斯克市一家音乐厅22日晚发生枪击事件，俄方认定其为恐怖袭击。截至目前，事件已造成143人死亡，11名嫌疑人被拘捕。俄罗斯有关方面表示将“血债血偿”，但尚未指认袭击者身份。国际社会对这起事件纷纷表达谴责。
新华国际的微博视频",国际
　　新华社快讯：今日俄罗斯通讯社报道，莫斯科近郊音乐厅恐怖袭击事件已造成143人死亡。（记者陈汀 刘恺） ,国际
　　新华社快讯：俄罗斯侦查委员会23日发表声明说，莫斯科近郊音乐厅发生的恐怖袭击事件已造成115人死亡。（记者华迪 刘恺） ,国际
　　新华社快讯：俄罗斯侦查委员会23日发表声明说，莫斯科近郊音乐厅发生的恐怖袭击事件已造成93人死亡。（记者陈汀 刘恺） ,国际
　　新华社快讯：据今日俄罗斯通讯社报道，俄罗斯情报部门称已拘捕11名与莫斯科近郊恐袭有关联的嫌疑人。 ,国际
　　新华社快讯：据塔斯社报道，俄罗斯国家杜马议员说，莫斯科近郊恐袭两名嫌疑人已被拘留。 ,国际
　　新华社快讯：据今日俄罗斯通讯社报道，俄罗斯萨马拉州一炼油厂23日遭无人机袭击，导致一座炼油塔起火，目前暂无人员伤亡。 ,国际
　　新华社快讯：据外电报道，俄罗斯别尔哥罗德州州长格拉德科夫称，当地时间23日上午该州遭无人机袭击，造成1人死亡、2人受伤。 ,国际
　　新华社快讯：习近平强调，中方反对一切形式的恐怖主义，强烈谴责恐怖袭击行为，坚定支持俄罗斯政府维护国家安全稳定的努力。 ,国际
　　新华社快讯：3月23日，国家主席习近平就俄罗斯莫斯科州一音乐厅发生严重恐怖袭击事件造成重大人员伤亡向俄罗斯总统普京致慰问电。 ,国际
"【联合国秘书长谴责发生在莫斯科近郊的恐怖袭击】联合国秘书长古特雷斯22日发表声明，强烈谴责当天发生在莫斯科近郊的恐怖袭击。声明说，古特雷斯以最强烈的言辞谴责此次袭击。古特雷斯对死者家属以及俄罗斯政府和人民表示深切慰问，祝伤者早日康复。 
新华国际的微博视频
 ",国际
【多方强烈谴责莫斯科近郊恐袭】22日晚，俄罗斯首都莫斯科近郊克拉斯诺戈尔斯克市一家音乐厅发生枪击事件，截至目前，事件已造成超过60人死亡、100余人受伤。俄外交部新闻发言人扎哈罗娃强调，枪击事件是恐怖袭击，呼吁国际社会谴责这一滔天罪行。联合国秘书长古特雷斯强烈谴责这起恐怖袭击，并向遇难者家属、俄罗斯政府和人民表示慰问。法国总统马克龙等多国领导人也对恐怖袭击予以强烈谴责。,国际
【莫斯科近郊恐袭致超60人死亡 115人入院治疗】22日晚，俄罗斯首都莫斯科近郊克拉斯诺戈尔斯克市一家音乐厅发生枪击事件，俄方认定其为恐怖袭击。俄罗斯侦查委员会公布的最新数据显示，袭击导致超过60人丧生。俄卫生部部长穆拉什科发布消息说，共有115人入院治疗，包括5名儿童。 ,国际
"【现场｜莫斯科恐袭已致死至少40人 俄多地高度戒备！】俄罗斯首都莫斯科近郊克拉斯诺戈尔斯克市一音乐厅22日发生枪击事件。据俄罗斯联邦安全局初步统计，这起枪击事件已造成40人死亡、100多人受伤。新华社记者第一时间赶到现场看到，有大量警察维持秩序，大火仍在继续，浓烟滚滚，房顶几近坍塌。消防人员正在灭火，直升机不时从空中飞过。俄罗斯外交部22日说，当天在“克罗库斯城”音乐厅发生的枪击事件是恐怖袭击。莫斯科市长索比亚宁宣布，莫斯科市本周末将取消所有大型群众性活动。除莫斯科外，列宁格勒州、阿尔汉格尔斯克州等多地宣布取消所有娱乐、文化等公共活动。 
新华国际的微博视频",国际
　　新华社快讯：3月23日，国家主席习近平同多米尼克总统伯顿互致贺电，庆祝两国建交20周年。 ,国际
新华社快讯：俄罗斯联邦安全局22日初步统计，当天发生的莫斯科近郊音乐厅枪击事件已造成40人死亡、100多人受伤。（记者陈汀 刘恺） ,国际
新华社快讯：俄罗斯外交部22日说，当天在莫斯科近郊“克罗库斯城”音乐厅发生的枪击事件为恐怖袭击。（记者陈汀 刘恺） ,国际
"【解局 | 特朗普过这道“钱”关有多难？】美国共和党籍前总统唐纳德·特朗普因财务欺诈面临罚款加利息逾4亿美元，如果在25日前无法缴纳巨额保证金，特朗普面临资产遭查封甚至破产风险。眼下，特朗普既拿不出足额现金，也找不到担保方，“特朗普破产”在社交媒体上成为热词。此外，还有人质疑特朗普所筹资金用于支付法律开支的合法性。钱，成为特朗普竞选之路的一道坎，新华社记者为您解局：
网页链接",国际
"【好莱坞被中国故事吸引　《热辣滚烫》冲进北美票房热榜】“希望用我的真诚和共情能力来打动观众，把家乡的故事、中国的故事讲给所有人听。”中国电影人贾玲日前带着自导自演的电影《热辣滚烫》走进美国洛杉矶，在北美特别展映礼上说。
网页链接
 ",国际
"【民主的关键是什么？英国学者罗思义从这三方面直击中美差异】民主的关键是什么？新华社就此专访英国学者、伦敦经济与商业政策署前署长罗思义，他从三方面直击中美差异。 
新华国际的微博视频
 ",国际
　　新华社快讯：印度尼西亚气象、气候和地球物理局22日说，印尼爪哇岛北部海域发生6.6级地震，震源深度10千米。（记者陶方伟） ,国际
　　新华社快讯：印度尼西亚气象、气候和地球物理局22日说，印尼爪哇岛附近海域发生6.0级地震，震源深度10千米。（记者刘秀玲） ,国际
【布林肯称美已向安理会提交在加沙地带立即停火的决议草案】美国国务卿布林肯20日至21日访问沙特阿拉伯期间透露，美已向联合国安理会提交一份决议草案，呼吁在加沙地带立即停火。据沙特媒体21日报道，布林肯对媒体说，美方要求在加沙地带立即实施停火并释放被扣押人员。布林肯同时强调美方支持以色列的自卫权。布林肯还说，加沙地带停火协议已接近达成。他将在此次中东之行期间与各方讨论加沙地带战后治理问题。,国际
　　新华社快讯：俄国防部宣布俄军控制了阿夫杰耶夫卡方向的托年科耶居民点。（记者华迪） ,国际
"【说透了！什么才是真正的民主】在20日举办的第三届“民主：全人类共同价值”国际论坛上，新华社记者采访与会专家。他们就“什么是真正的民主”“美国输出美式民主带来了什么结果”“中国可以为推动人类民主进步提供哪些智慧”等问题，打开了话匣子。 
新华国际的微博视频
 ",国际
　　新华社快讯：俄罗斯中央选举委员会主席帕姆菲洛娃21日正式宣布俄总统选举结果，俄现任总统普京在选举中获胜。（记者江宥林 刘恺） ,国际
　　新华社快讯：据当地媒体报道，阿富汗南部坎大哈省首府坎大哈市一银行21日发生爆炸，目前伤亡情况不明。（记者邹学冕） ,国际
　　新华社快讯：越南国会常务委员会21日发布通知，宣布由国家副主席武氏映春出任国家代主席。（记者孙一） ,国际
　　新华社快讯：21日凌晨5时许，乌克兰首都基辅传出数次爆炸声，基辅市军事管理局说防空系统正在运行中。（记者李东旭） ,国际
"【外国政要访华，“打卡地”都有啥特点】安哥拉总统洛伦索近日来中国访问，在北京之后，还特意到山东考察。到中国各地走一走、看一看，是不少外国元首、政要的访华必选项。我们发现啊，最热门的“打卡地”有两个特点——传统的和现代的。来聊聊其中的门道吧—— 
新华国际的微博视频
 ",国际
　　新华社快讯：3月20日，国家主席习近平致电普拉博沃·苏比延多，祝贺他当选印度尼西亚共和国总统。 ,国际
　　新华社快讯：葡萄牙总统府官网20日晚发布消息说，葡萄牙总统德索萨当晚已任命社民党主席蒙特内格罗担任总理并着手组建新政府。（记者赵丹亮　温新年） ,国际
新华社快讯：据日本广播协会报道，日本茨城县南部地区21日发生5.3级地震，东京等地震感强烈。（记者姜俏梅） ,国际
新华社快讯：美国联邦储备委员会20日宣布，将联邦基金利率目标区间维持在5.25%至5.5%之间，符合市场普遍预期。这是自去年9月以来美联储连续第五次维持利率不变。（记者许缘） ,国际
　　新华社快讯：联合国机构20日发布的《全球电子垃圾监测》报告显示，2022年全球范围内共产生6200万吨电子垃圾，其中仅有不到四分之一被回收利用。（记者褚怡 杜哲宇） ,国际
"【日内瓦手记 | 在人权问题上 他们试图叫醒“装睡的人”】“在西方的叙事体系下，人权更像是某种漂亮的说辞。在听他们说的时候，我们还需要看看他们做了什么。”国际人权和社会发展协会拉丁美洲人权事务顾问戴维·洛佩斯在联合国人权理事会第55届会议期间对记者说。“看看现在的加沙，希望有更多人能明白西方在人权问题上的‘双重标准’。”
网页链接",国际
【新华社起底美国“三大政治赤字”】美国张罗的所谓第三届“民主峰会”3月18日至20日在韩国举行，而21年前的3月20日，正是美军入侵伊拉克的日子，伊拉克人民至今还在承受着“美式民主输出”的恶果……美国嘴上挂着“自由”“民主”“基于规则的国际秩序”口号，实际却以民主之名行分裂国际社会和维护霸权之实。美国一再违逆世界和平与发展的历史大势，在思想、形象和领导力上出现了严重赤字，成为名副其实的“赤字帝国”。,国际
　　新华社快讯：世界气象组织19日发布的《2023年全球气候状况报告》显示，2023年，全球温室气体浓度、地表温度、海洋热量和酸化、海平面上升、南极海冰面积和冰川消融等多项气候变化指标创下新纪录。（记者曾焱） ,国际
"【频爆“雷语” 马克龙从“鸽”转“鹰”？ 】法国总统马克龙近日频爆“雷语”，多次公开谈论出兵乌克兰，并表示已“深思熟虑”，未来可能“不得不采取某种行动对抗俄军”，其外交政策骤变引发舆论哗然。目前俄乌冲突已耗入第三年，西方援乌疲态渐显。马克龙却从最初调解冲突的“鸽派”到现在豪言派兵挺乌反俄的“鹰派”，前后立场大相径庭为哪般？来看解局：
网页链接",国际
　　新华社快讯：西班牙塞维利亚省一辆货车19日清晨在警方设立的检查点撞上多辆汽车，造成6人死亡、3人重伤。死者中有两名为执勤警察。（记者谢宇智） ,国际
